android,accounts,AbstractAccountAuthenticator,15,"Abstract base class for creating AccountAuthenticators.
 In order to be an authenticator one must extend this class provide implementations for the
 abstract methods and write a service that returns the result of  getIBinder() 
 in the service's  Service.onBind(android.content.Intent)  when invoked
 with an intent with action  AccountManager#ACTION_AUTHENTICATOR_INTENT . This service
 must specify the following intent filter and metadata tags in its AndroidManifest.xml file
  
   <intent-filter>
     <action android:name=""android.accounts.AccountAuthenticator"" />
   </intent-filter>
   <meta-data android:name=""android.accounts.AccountAuthenticator""
             android:resource=""@xml/authenticator"" />
  android:resource 
 <account-authenticator xmlns:android=""http://schemas.android.com/apk/res/android""
    android:accountType=""typeOfAuthenticator""
    android:icon=""@drawable/icon""
    android:smallIcon=""@drawable/miniIcon""
    android:label=""@string/label""
    android:accountPreferences=""@xml/account_preferences""
 />
  android:accountType AccountManager Account#type 
 The preferences attribute points to a PreferenceScreen xml hierarchy that contains
 a list of PreferenceScreens that can be invoked to manage the authenticator. An example is:
  
 <PreferenceScreen xmlns:android=""http://schemas.android.com/apk/res/android"">
    <PreferenceCategory android:title=""@string/title_fmt"" />
    <PreferenceScreen
         android:key=""key1""
         android:title=""@string/key1_action""
         android:summary=""@string/key1_summary"">
         <intent
             android:action=""key1.ACTION""
             android:targetPackage=""key1.package""
             android:targetClass=""key1.class"" />
     </PreferenceScreen>
 </PreferenceScreen>
  
 The standard pattern for implementing any of the abstract methods is the following:
   If the supplied arguments are enough for the authenticator to fully satisfy the request
 then it will do so and return a  Bundle  that contains the results.
   If the authenticator needs information from the user to satisfy the request then it
 will create an  Intent  to an activity that will prompt the user for the information
 and then carry out the request. This intent must be returned in a Bundle as key
  AccountManager#KEY_INTENT .
  
 The activity needs to return the final result when it is complete so the Intent should contain
 the  AccountAuthenticatorResponse  as  AccountManager#KEY_ACCOUNT_MANAGER_RESPONSE .
 The activity must then call  AccountAuthenticatorResponse#onResult  or
  AccountAuthenticatorResponse#onError  when it is complete.
   If the authenticator cannot synchronously process the request and return a result then it
 may choose to return null and then use the AccountManagerResponse to send the result
 when it has completed the request.
  
 The following descriptions of each of the abstract authenticator methods will not describe the
 possible asynchronous nature of the request handling and will instead just describe the input
 parameters and the expected result.
  
 When writing an activity to satisfy these requests one must pass in the AccountManagerResponse
 and return the result via that response when the activity finishes (or whenever else  the
 activity author deems it is the correct time to respond).
 The  AccountAuthenticatorActivity  handles this so one may wish to extend that when
 writing activities to handle these requests."
android,accounts,Account,5,"Value type that represents an Account in the  AccountManager . This object is
  Parcelable  and also overrides  equals(Object)  and  hashCode()  making it
 suitable for use as the key of a  Map"
android,accounts,AccountAuthenticatorActivity,3,"Base class for implementing an Activity that is used to help implement an
 AbstractAccountAuthenticator. If the AbstractAccountAuthenticator needs to use an activity
 to handle the request then it can have the activity extend AccountAuthenticatorActivity.
 The AbstractAccountAuthenticator passes in the response to the intent using the following:
  
      intent.putExtra( AccountManager#KEY_ACCOUNT_AUTHENTICATOR_RESPONSE  response);
  setAccountAuthenticatorResult(android.os.Bundle) AccountManager#ERROR_CODE_CANCELED"
android,accounts,AccountAuthenticatorResponse,5,Object used to communicate responses back to the AccountManager
android,accounts,AccountManager,45,"This class provides access to a centralized registry of the user's
 online accounts.  The user enters credentials (username and password) once
 per account granting applications access to online resources with
 ""one-click"" approval.

  Different online services have different ways of handling accounts and
 authentication so the account manager uses pluggable  authenticator 
 modules for different  account types .  Authenticators (which may be
 written by third parties) handle the actual details of validating account
 credentials and storing account information.  For example Google Facebook
 and Microsoft Exchange each have their own authenticator.

  Many servers support some notion of an  authentication token 
 which can be used to authenticate a request to the server without sending
 the user's actual password.  (Auth tokens are normally created with a
 separate request which does include the user's credentials.)  AccountManager
 can generate auth tokens for applications so the application doesn't need to
 handle passwords directly.  Auth tokens are normally reusable and cached by
 AccountManager but must be refreshed periodically.  It's the responsibility
 of applications to  invalidate  auth tokens when they stop working so
 the AccountManager knows it needs to regenerate them.

  Applications accessing a server normally go through these steps:

  Get an instance of AccountManager using  get(android.content.Context) .

  List the available accounts using  getAccountsByType(String)  or
  getAccountsByTypeAndFeatures(String String[] AccountManagerCallback  Handler) .  Normally applications will only
 be interested in accounts with one particular  type  which
 identifies the authenticator.  Account  features  are used to
 identify particular account subtypes and capabilities.  Both the account
 type and features are authenticator-specific strings and must be known by
 the application in coordination with its preferred authenticators.

  Select one or more of the available accounts possibly by asking the
 user for their preference.  If no suitable accounts are available
  addAccount(String String String[] Bundle Activity AccountManagerCallback  Handler)  may be called to prompt the user to create an
 account of the appropriate type.

  Important:  If the application is using a previously remembered
 account selection it must make sure the account is still in the list
 of accounts returned by  getAccountsByType(String) .  Requesting an auth token
 for an account no longer on the device results in an undefined failure.

  Request an auth token for the selected account(s) using one of the
  getAuthToken(Account String Bundle Activity AccountManagerCallback  Handler)  methods or related helpers.  Refer to the description
 of each method for exact usage and error handling details.

  Make the request using the auth token.  The form of the auth token
 the format of the request and the protocol used are all specific to the
 service you are accessing.  The application may use whatever network and
 protocol libraries are useful.

  Important:  If the request fails with an authentication error
 it could be that a cached auth token is stale and no longer honored by
 the server.  The application must call  invalidateAuthToken(String String)  to remove
 the token from the cache otherwise requests will continue failing!  After
 invalidating the auth token immediately go back to the ""Request an auth
 token"" step above.  If the process fails the second time then it can be
 treated as a ""genuine"" authentication failure and the user notified or other
 appropriate actions taken.
  Some AccountManager methods may need to interact with the user to
 prompt for credentials present options or ask the user to add an account.
 The caller may choose whether to allow AccountManager to directly launch the
 necessary user interface and wait for the user or to return an Intent which
 the caller may use to launch the interface or (in some cases) to install a
 notification which the user can select at any time to launch the interface.
 To have AccountManager launch the interface directly the caller must supply
 the current foreground  Activity  context.

  Many AccountManager methods take  AccountManagerCallback  and
  Handler  as parameters.  These methods return immediately and
 run asynchronously. If a callback is provided then
  AccountManagerCallback#run  will be invoked on the Handler's
 thread when the request completes successfully or not.
 The result is retrieved by calling  AccountManagerFuture#getResult() 
 on the  AccountManagerFuture  returned by the method (and also passed
 to the callback).  This method waits for the operation to complete (if
 necessary) and either returns the result or throws an exception if an error
 occurred during the operation.  To make the request synchronously call
  AccountManagerFuture#getResult()  immediately on receiving the
 future from the method; no callback need be supplied.

  Requests which may block including
  AccountManagerFuture#getResult()  must never be called on
 the application's main event thread.  These operations throw
  IllegalStateException  if they are used on the main thread."
android,accounts,AuthenticatorDescription,6,A  Parcelable  value type that contains information about an account authenticator.
android,accessibilityservice,AccessibilityButtonController,4,"Controller for the accessibility button within the system's navigation area
  
 This class may be used to query the accessibility button's state and register
 callbacks for interactions with and state changes to the accessibility button when
  AccessibilityServiceInfo#FLAG_REQUEST_ACCESSIBILITY_BUTTON  is set.
  Note:  This class and
  AccessibilityServiceInfo#FLAG_REQUEST_ACCESSIBILITY_BUTTON  should not be used as
 the sole means for offering functionality to users via an  AccessibilityService .
 Some device implementations may choose not to provide a software-rendered system
 navigation area making this affordance permanently unavailable.
  Note:  On device implementations where the accessibility button is
 supported it may not be available at all times such as when a foreground application uses
  View.SYSTEM_UI_FLAG_HIDE_NAVIGATION . A user may also choose to assign
 this button to another accessibility service or feature. In each of these cases a
 registered  AccessibilityButtonCallback 's
  AccessibilityButtonCallback#onAvailabilityChanged(AccessibilityButtonController boolean) 
 method will be invoked to provide notifications of changes in the accessibility button's
 availability to the registering service."
android,accessibilityservice,AccessibilityButtonController.AccessibilityButtonCallback,2,"Callback for interaction with and changes to state of the accessibility button
 within the system's navigation area."
android,accessibilityservice,AccessibilityService,19,"Accessibility services should only be used to assist users with disabilities in using
 Android devices and apps. They run in the background and receive callbacks by the system
 when  AccessibilityEvent s are fired. Such events denote some state transition
 in the user interface for example the focus has changed a button has been clicked
 etc. Such a service can optionally request the capability for querying the content
 of the active window. Development of an accessibility service requires extending this
 class and implementing its abstract methods."
android,accessibilityservice,AccessibilityService.GestureResultCallback,2,Class used to report status of dispatched gestures
